juris_id,ecozone,canfi_species,genus,species,variety,a,b,volm,count,rmse
AB,4,100,PICE,SPP,NA,0.9431912049,0.8476338994,509.04072206,94,7.7314649114
AB,4,101,PICE,MAR,NA,0.5509291907,0.9801773105,27.484256527,4,0.1408401544
AB,4,105,PICE,GLA,NA,0.9431912049,0.8476338994,509.04072206,94,7.7314649114
AB,4,200,PINU,SPP,NA,1.2162377304,0.8232616768,322.9076603,9,2.2056540778
AB,4,203,PINU,BAN,NA,1.2162377304,0.8232616768,322.9076603,9,2.2056540778
AB,4,204,PINU,CON,NA,1.2162377304,0.8232616768,322.9076603,9,2.2056540778
AB,4,204,PINU,CON,LAT,1.2162377304,0.8232616768,322.9076603,9,2.2056540778
AB,4,206,PINU,ALB,NA,0.5947627381,0.9409838336,370.54150114,46,4.4163557979
AB,4,216,PINU,MUR,NA,1.2162377304,0.8232616768,322.9076603,9,2.2056540778
AB,4,300,ABIE,SPP,NA,0.3926970989,0.9971157398,423.80330269,38,5.108902116
AB,4,302,ABIE,BAL,NA,0.3926970989,0.9971157398,423.80330269,38,5.108902116
AB,4,500,PSEU,MEN,NA,0.7389661523,0.9152583915,477.87548132,9,13.600887379
AB,4,500,PSEU,MEN,MEN,0.7389661523,0.9152583915,477.87548132,9,13.600887379
AB,4,500,PSEU,MEN,GLA,0.7389661523,0.9152583915,477.87548132,9,13.600887379
AB,4,500,PSEU,SPP,NA,0.7389661523,0.9152583915,477.87548132,9,13.600887379
AB,4,600,LARI,SPP,NA,0.58954739,0.9550140168,199.53544906,26,1.0667683034
AB,4,601,LARI,DEC,NA,0.58954739,0.9550140168,199.53544906,26,1.0667683034
AB,4,602,LARI,LAR,NA,0.58954739,0.9550140168,199.53544906,26,1.0667683034
AB,4,603,LARI,OCC,NA,0.7514377801,0.9119291308,795.06432589,633,6.5472419321
AB,4,1200,POPU,SPP,NA,0.5678507511,0.9459614803,451.73612404,21,3.4944476094
AB,4,1201,POPU,TRE,NA,0.5678507511,0.9459614803,451.73612404,21,3.4944476094
AB,4,1203,POPU,BAL,NA,0.4076663168,0.9796663556,364.49530193,4,0.8759033497
AB,4,1203,POPU,BAL,BAL,0.4076663168,0.9796663556,364.49530193,4,0.8759033497
AB,4,1204,POPU,TRI,NA,0.4076663168,0.9796663556,364.49530193,4,0.8759033497
AB,4,1205,POPU,DEL,NA,0.4076663168,0.9796663556,364.49530193,4,0.8759033497
AB,4,1205,POPU,DEL,DEL,0.4076663168,0.9796663556,364.49530193,4,0.8759033497
AB,4,1214,POPU,AGU,NA,0.4076663168,0.9796663556,364.49530193,4,0.8759033497
AB,4,1303,BETU,PAP,NA,0.7431254378,0.9229018437,217.08427507,4,2.9435375583
AB,4,1303,BETU,PAP,PAP,0.7431254378,0.9229018437,217.08427507,4,2.9435375583
AB,5,100,PICE,SPP,NA,0.4656486298,0.9774880674,648.11789774,403,4.1208626983
AB,5,101,PICE,MAR,NA,0.5810778741,0.9600529769,392.98012476,81,2.1295139966
