juris_id,ecozone,canfi_species,genus,species,variety,a,b,k,cap,volm,count,rmse
AB,4,100,PICE,SPP,NA,99.99999999,-1.36992495,0.8955708015,1.6735619313,509.04072206,20,0.04714614369999999
AB,4,101,PICE,MAR,NA,2.5578459249,-0.419600601,0.5,2.3881899193,27.484256527,2,NA
AB,4,105,PICE,GLA,NA,99.99999999,-1.36992495,0.8955708015,1.6735619313,509.04072206,20,0.04714614369999999
AB,4,200,PINU,SPP,NA,99.99999999,-1.49678421,0.9345147449,1.1590154105,322.9076603,11,0.0198199685
AB,4,203,PINU,BAN,NA,99.99999999,-1.49678421,0.9345147449,1.1590154105,322.9076603,11,0.0198199685
AB,4,204,PINU,CON,NA,99.99999999,-1.49678421,0.9345147449,1.1590154105,322.9076603,11,0.0198199685
AB,4,204,PINU,CON,LAT,99.99999999,-1.49678421,0.9345147449,1.1590154105,322.9076603,11,0.0198199685
AB,4,206,PINU,ALB,NA,14.303240356,-0.62988058,0.3984527681,5.4123235993,377.89513718,19,0.098253808
AB,4,216,PINU,MUR,NA,99.99999999,-1.442567232,0.904534462,1.3543925338,322.9076603,12,0.02404520279999999
AB,4,300,ABIE,SPP,NA,1.3500229781,-0.057247049,1e-8,1.2868662935,423.80330269,19,0.0760513066
AB,4,302,ABIE,BAL,NA,1.3500229781,-0.057247049,1e-8,1.2868662935,423.80330269,19,0.0760513066
AB,4,500,PSEU,MEN,NA,4.6939618767,-0.624615236,0.8207506994,1.1935257787,477.87548132,12,0.0252206422
AB,4,500,PSEU,MEN,MEN,4.6939618767,-0.624615236,0.8207506994,1.1935257787,477.87548132,12,0.0252206422
AB,4,500,PSEU,MEN,GLA,4.6939618767,-0.624615236,0.8207506994,1.1935257787,477.87548132,12,0.0252206422
AB,4,500,PSEU,SPP,NA,4.6939618767,-0.624615236,0.8207506994,1.1935257787,477.87548132,12,0.0252206422
AB,4,600,LARI,SPP,NA,2.4231023081,-0.527469778,0.9455645849,2.0186454098,199.53544906,8,0.0573144306
AB,4,601,LARI,DEC,NA,2.4231023081,-0.527469778,0.9455645849,2.0186454098,199.53544906,8,0.0573144306
AB,4,602,LARI,LAR,NA,2.4231023081,-0.527469778,0.9455645849,2.0186454098,199.53544906,8,0.0573144306
AB,4,603,LARI,OCC,NA,10.744989083,-0.46301133,0.1744027789,4.3921293665,795.06432589,34,0.1634903799
AB,4,1200,POPU,SPP,NA,19.949369626,-0.933149241,0.8055462475,2.6637404404,451.73612404,19,0.0683497672
AB,4,1201,POPU,TRE,NA,19.949369626,-0.933149241,0.8055462475,2.6637404404,451.73612404,19,0.0683497672
AB,4,1203,POPU,BAL,NA,1.0656577617,-0.011628762,1e-8,1.0165328822,364.49530193,9,0.0076530796
AB,4,1203,POPU,BAL,BAL,1.0656577617,-0.011628762,1e-8,1.0165328822,364.49530193,9,0.0076530796
AB,4,1204,POPU,TRI,NA,1.0656577617,-0.011628762,1e-8,1.0165328822,364.49530193,9,0.0076530796
AB,4,1205,POPU,DEL,NA,1.0656577617,-0.011628762,1e-8,1.0165328822,364.49530193,9,0.0076530796
AB,4,1205,POPU,DEL,DEL,1.0656577617,-0.011628762,1e-8,1.0165328822,364.49530193,9,0.0076530796
AB,4,1214,POPU,AGU,NA,1.0656577617,-0.011628762,1e-8,1.0165328822,364.49530193,9,0.0076530796
AB,4,1303,BETU,PAP,PAP,24.782425941,-0.778651784,0.2688077901,2.9193162287,217.08427507,6,0.2030558509
AB,4,1303,BETU,PAP,NA,24.782425941,-0.778651784,0.2688077901,2.9193162287,217.08427507,6,0.2030558509
AB,5,100,PICE,SPP,NA,1.2877105535,-0.042899264,1e-8,1.228879116,658.35024885,32,0.05123424079999999
AB,5,101,PICE,MAR,NA,11.657793836,-0.493473745,0.0607439165,5.2418972533,392.98012476,20,0.0730047875
AB,5,105,PICE,GLA,NA,1.2877105535,-0.042899264,1e-8,1.228879116,658.35024885,32,0.05123424079999999
AB,5,200,PINU,SPP,NA,24.127518384,-0.822585886,0.6795653135,7.7179642721,643.08305851,33,0.0808013776
AB,5,203,PINU,BAN,NA,14.508758905,-1.043240677,0.9305086259,4.548556252,228.61569283,12,0.0538285134
AB,5,204,PINU,CON,LAT,24.127518384,-0.822585886,0.6795653135,7.7179642721,643.08305851,33,0.0808013776
