juris_id,ecozone,canfi_genus,genus,a,b,k,cap,volm,count,rmse
AB,4,1,PICE,99.99999999,-2.179309769,0.9991010887,4.09925048,467.95812307,19,0.0293531949
AB,4,2,PINU,99.99999999,-1.619269195,0.9710158687,1.5179203184,627.71148981,32,0.0271838949
AB,4,3,ABIE,26.219880616,-1.786459277,0.9987017015,1.1186997115,329.09802062,12,0.0234618387
AB,4,5,PSEU,99.99999999,-1.680679955,0.9834949561,1.066972991,410.79147708,11,0.0138093964
AB,4,6,LARI,2.7877844027,-2.108897833,1.1079402819,1.2055191841,199.53544906,21,0.1196904464
AB,4,9,POPU,99.99999999,-1.415723009,0.8733768514,1.565581201,451.73612404,14,0.0602454684
AB,4,10,BETU,99.99999999,-1.015892052,0.0672921578,1.9030107349,206.73694644,4,0.0995568292
AB,4,12,GENH,99.99999999,-1.015892052,0.0672921578,1.9030107349,206.73694644,4,0.0995568292
AB,5,1,PICE,7.9906519739,-0.935196192,0.9403522452,1.3740727732,658.35024885,33,0.0562859754
AB,5,2,PINU,99.99999999,-1.619269195,0.9710158687,1.5179203184,627.71148981,32,0.0271838949
AB,5,3,ABIE,26.219880616,-1.786459277,0.9987017015,1.1186997115,329.09802062,12,0.0234618387
AB,5,5,PSEU,99.99999999,-1.680679955,0.9834949561,1.066972991,410.79147708,11,0.0138093964
AB,5,6,LARI,2.7877844027,-2.108897833,1.1079402819,1.2055191841,199.53544906,21,0.1196904464
AB,5,9,POPU,26.622983697,-1.239799553,0.9559376414,1.7688225269,636.05529769,29,0.02618272069999999
AB,5,10,BETU,99.99999999,-1.015892052,0.0672921578,1.9030107349,206.73694644,4,0.0995568292
AB,5,12,GENH,99.99999999,-1.015892052,0.0672921578,1.9030107349,206.73694644,4,0.0995568292
AB,6,1,PICE,7.9906519739,-0.935196192,0.9403522452,1.3740727732,658.35024885,33,0.0562859754
AB,6,2,PINU,99.99999999,-1.619269195,0.9710158687,1.5179203184,627.71148981,32,0.0271838949
AB,6,3,ABIE,26.219880616,-1.786459277,0.9987017015,1.1186997115,329.09802062,12,0.0234618387
AB,6,5,PSEU,99.99999999,-1.680679955,0.9834949561,1.066972991,410.79147708,11,0.0138093964
AB,6,6,LARI,2.7877844027,-2.108897833,1.1079402819,1.2055191841,199.53544906,21,0.1196904464
AB,6,9,POPU,26.622983697,-1.239799553,0.9559376414,1.7688225269,636.05529769,29,0.02618272069999999
AB,6,10,BETU,99.99999999,-1.015892052,0.0672921578,1.9030107349,206.73694644,4,0.0995568292
AB,6,12,GENH,99.99999999,-1.015892052,0.0672921578,1.9030107349,206.73694644,4,0.0995568292
AB,9,1,PICE,7.9906519739,-0.935196192,0.9403522452,1.3740727732,658.35024885,33,0.0562859754
AB,9,2,PINU,99.99999999,-1.619269195,0.9710158687,1.5179203184,627.71148981,32,0.0271838949
AB,9,3,ABIE,26.219880616,-1.786459277,0.9987017015,1.1186997115,329.09802062,12,0.0234618387
AB,9,5,PSEU,99.99999999,-1.680679955,0.9834949561,1.066972991,410.79147708,11,0.0138093964
AB,9,6,LARI,2.7877844027,-2.108897833,1.1079402819,1.2055191841,199.53544906,21,0.1196904464
AB,9,8,GENC,225.27871172,-1.917835486,0.9910698494,1.529353818,658.35024885,33,0.0150781073
AB,9,9,POPU,26.622983697,-1.239799553,0.9559376414,1.7688225269,636.05529769,29,0.02618272069999999
AB,9,10,BETU,99.99999999,-1.015892052,0.0672921578,1.9030107349,206.73694644,4,0.0995568292
AB,9,11,ACER,99.99999999,-1.015892052,0.0672921578,1.9030107349,206.73694644,4,0.0995568292
AB,9,12,GENH,99.99999999,-1.015892052,0.0672921578,1.9030107349,206.73694644,4,0.0995568292
AB,9,121,CARY,99.99999999,-1.015892052,0.0672921578,1.9030107349,206.73694644,4,0.0995568292
AB,9,122,JUGL,99.99999999,-1.015892052,0.0672921578,1.9030107349,206.73694644,4,0.0995568292
AB,9,123,ALNU,99.99999999,-1.015892052,0.0672921578,1.9030107349,206.73694644,4,0.0995568292
