juris_id,ecozone,canfi_species,genus,species,variety,a1,a2,a3,b1,b2,b3,c1,c2,c3,count
AB,4,100,PICE,SPP,NA,-2.973785,-0.0013397,0.2494025,-4.658244,-0.0037008,0.5384983,1.258209,0.0017146,-0.7335693,94
AB,4,101,PICE,MAR,NA,-1.372184,0.0078779,-0.1882625,-2.455109,-0.0141344,0.1005061,-0.1225716,0.0455878,-0.9324859,4
AB,4,105,PICE,GLA,NA,-2.973785,-0.0013397,0.2494025,-4.658244,-0.0037008,0.5384983,1.258209,0.0017146,-0.7335693,94
AB,4,200,PINU,SPP,NA,3.063776,0.0063935,-1.239001,-3.270147,-0.0043885,0.3571932,-0.2698893,0.0022748,-0.5517132,9
AB,4,203,PINU,BAN,NA,3.063776,0.0063935,-1.239001,-3.270147,-0.0043885,0.3571932,-0.2698893,0.0022748,-0.5517132,9
AB,4,204,PINU,CON,NA,3.063776,0.0063935,-1.239001,-3.270147,-0.0043885,0.3571932,-0.2698893,0.0022748,-0.5517132,9
AB,4,204,PINU,CON,LAT,3.063776,0.0063935,-1.239001,-3.270147,-0.0043885,0.3571932,-0.2698893,0.0022748,-0.5517132,9
AB,4,206,PINU,ALB,NA,-1.620894,3.71e-5,-0.1091873,-0.9625049,0.00528,-0.4991704,-1.168289,0.0028012,-0.3771049,46
AB,4,216,PINU,MUR,NA,3.063776,0.0063935,-1.239001,-3.270147,-0.0043885,0.3571932,-0.2698893,0.0022748,-0.5517132,9
AB,4,300,ABIE,SPP,NA,-1.157117,7.395e-4,-0.1735332,0.5572737,5.295e-4,-0.4051833,-0.3311022,-5.99e-5,-0.3127531,38
AB,4,302,ABIE,BAL,NA,-1.157117,7.395e-4,-0.1735332,0.5572737,5.295e-4,-0.4051833,-0.3311022,-5.99e-5,-0.3127531,38
AB,4,500,PSEU,MEN,NA,-2.4038909999999998,-6.387e-4,0.1674664,0.7055001,0.0010978,-0.4010315,4.425699,0.0036288,-1.263356,9
AB,4,500,PSEU,MEN,MEN,-2.4038909999999998,-6.387e-4,0.1674664,0.7055001,0.0010978,-0.4010315,4.425699,0.0036288,-1.263356,9
