juris_id,ecozone,canfi_species,genus,species,variety,vol_min,vol_max,p_sw_low,p_sb_low,p_br_low,p_fl_low,p_sw_high,p_sb_high,p_br_high,p_fl_high
AB,4,100,PICE,SPP,NA,70.337549389,509.04072206,0.7255332831,0.099166774,0.0543658345,0.1209341084,0.7996138148,0.0980255217,0.0332314346,0.0691292289
AB,4,101,PICE,MAR,NA,0.2106787703,27.484256527,0.6762233703,0.1258678241,0.0683296011,0.1295792045,0.731697875,0.1196303021,0.060438262,0.088233561
AB,4,105,PICE,GLA,NA,70.337549389,509.04072206,0.7255332831,0.099166774,0.0543658345,0.1209341084,0.7996138148,0.0980255217,0.0332314346,0.0691292289
AB,4,200,PINU,SPP,NA,82.954998684,322.9076603,0.7404331073,0.1050664544,0.0967501459,0.0577502923,0.789295504,0.1017202207,0.0575720962,0.0514121791
AB,4,203,PINU,BAN,NA,82.954998684,322.9076603,0.7404331073,0.1050664544,0.0967501459,0.0577502923,0.789295504,0.1017202207,0.0575720962,0.0514121791
AB,4,204,PINU,CON,NA,82.954998684,322.9076603,0.7404331073,0.1050664544,0.0967501459,0.0577502923,0.789295504,0.1017202207,0.0575720962,0.0514121791
AB,4,204,PINU,CON,LAT,82.954998684,322.9076603,0.7404331073,0.1050664544,0.0967501459,0.0577502923,0.789295504,0.1017202207,0.0575720962,0.0514121791
AB,4,206,PINU,ALB,NA,4.3107879824,377.89513718,0.7047488996,0.1092339228,0.0904106209,0.0956065568,0.7439867515,0.077923623,0.1073246481,0.0707649774
AB,4,216,PINU,MUR,NA,82.954998684,322.9076603,0.7404331073,0.1050664544,0.0967501459,0.0577502923,0.789295504,0.1017202207,0.0575720962,0.0514121791
AB,4,300,ABIE,SPP,NA,7.7850465269,423.80330269,0.4648997067,0.0944670605,0.2902372235,0.1503960093,0.69305212410000006,0.1041264808,0.1299263125,0.0728950826
AB,4,302,ABIE,BAL,NA,7.7850465269,423.80330269,0.4648997067,0.0944670605,0.2902372235,0.1503960093,0.69305212410000006,0.1041264808,0.1299263125,0.0728950826
AB,4,500,PSEU,MEN,NA,127.45404051,477.87548132,0.5575046425,0.1052622906,0.1829760986,0.1542569683,0.5998681716,0.1124492276,0.1721805735,0.1155020274
AB,4,500,PSEU,MEN,MEN,127.45404051,477.87548132,0.5575046425,0.1052622906,0.1829760986,0.1542569683,0.5998681716,0.1124492276,0.1721805735,0.1155020274
AB,4,500,PSEU,MEN,GLA,127.45404051,477.87548132,0.5575046425,0.1052622906,0.1829760986,0.1542569683,0.5998681716,0.1124492276,0.1721805735,0.1155020274
AB,4,500,PSEU,SPP,NA,127.45404051,477.87548132,0.5575046425,0.1052622906,0.1829760986,0.1542569683,0.5998681716,0.1124492276,0.1721805735,0.1155020274
AB,4,600,LARI,SPP,NA,1.6808347273,199.53544906,0.5630947078,0.1148923377,0.2179020435,0.104110911,0.7194828785,0.1177158852,0.1220728201,0.0407284162
AB,4,601,LARI,DEC,NA,1.6808347273,199.53544906,0.5630947078,0.1148923377,0.2179020435,0.104110911,0.7194828785,0.1177158852,0.1220728201,0.0407284162
AB,4,602,LARI,LAR,NA,1.6808347273,199.53544906,0.5630947078,0.1148923377,0.2179020435,0.104110911,0.7194828785,0.1177158852,0.1220728201,0.0407284162
AB,4,603,LARI,OCC,NA,3.8575573987,795.06432589,0.7311041237,0.0810267988,0.1098500054,0.0780190722,0.7679116859,0.1120141347,0.0799389614,0.0401352179
