juris_id,ecozone,canfi_genus,a,b,c,k,volmin,genus
AB,4,1,0.9765115425,-0.009437878,1.844732375,-0.00100001,8.5,PICE
AB,4,2,0.9479643884,-0.015825881,5.3335134777,-0.00100001,31.5,PINU
AB,4,3,0.8951729703,-0.023560732,3.5600499911,-0.00100001,12.5,ABIE
AB,4,5,0.9407849633,-0.016523674,9.1465686111,-0.00100001,52,PSEU
AB,4,6,0.5689117495,-0.014843331,1.1697704321,-0.00100001,2.5,LARI
AB,4,9,1.01999999,-0.026945819,39.392967058,-0.116480772,110,POPU
AB,4,10,1.0120986729,-0.013257845,2.9573579372,-0.00100001,15.5,BETU
AB,4,11,1.01999999,-0.026945819,39.392967058,-0.116480772,110,ACER
AB,4,12,1.01999999,-0.026945819,39.392967058,-0.116480772,110,GENH
AB,4,121,1.01999999,-0.026945819,39.392967058,-0.116480772,110,CARY
AB,4,122,1.01999999,-0.026945819,39.392967058,-0.116480772,110,JUGL
AB,4,123,1.01999999,-0.026945819,39.392967058,-0.116480772,110,ALNU
AB,4,124,1.01999999,-0.026945819,39.392967058,-0.116480772,110,OSTR
AB,4,125,1.01999999,-0.026945819,39.392967058,-0.116480772,110,CARP
AB,4,126,1.01999999,-0.026945819,39.392967058,-0.116480772,110,FAGU
AB,4,127,1.01999999,-0.026945819,39.392967058,-0.116480772,110,QUER
AB,4,128,1.01999999,-0.026945819,39.392967058,-0.116480772,110,ULMU
AB,4,129,1.01999999,-0.026945819,39.392967058,-0.116480772,110,MORU
AB,4,130,1.01999999,-0.026945819,39.392967058,-0.116480772,110,LIRI
AB,4,131,1.01999999,-0.026945819,39.392967058,-0.116480772,110,MAGN
AB,4,132,1.01999999,-0.026945819,39.392967058,-0.116480772,110,SASS
AB,4,133,1.01999999,-0.026945819,39.392967058,-0.116480772,110,PLAT
AB,4,134,1.01999999,-0.026945819,39.392967058,-0.116480772,110,PRUN
AB,4,135,1.01999999,-0.026945819,39.392967058,-0.116480772,110,GLED
AB,4,136,1.01999999,-0.026945819,39.392967058,-0.116480772,110,ROBI
AB,4,137,1.01999999,-0.026945819,39.392967058,-0.116480772,110,TILI
AB,4,138,1.01999999,-0.026945819,39.392967058,-0.116480772,110,NYSS
AB,4,139,1.01999999,-0.026945819,39.392967058,-0.116480772,110,CORN
AB,4,140,1.01999999,-0.026945819,39.392967058,-0.116480772,110,ARBU
AB,4,141,1.01999999,-0.026945819,39.392967058,-0.116480772,110,FRAX
AB,4,142,1.01999999,-0.026945819,39.392967058,-0.116480772,110,SALI
AB,4,143,1.01999999,-0.026945819,39.392967058,-0.116480772,110,GYMN
AB,4,144,1.01999999,-0.026945819,39.392967058,-0.116480772,110,CELT
AB,4,145,1.01999999,-0.026945819,39.392967058,-0.116480772,110,AMEL
AB,4,146,1.01999999,-0.026945819,39.392967058,-0.116480772,110,CORY
AB,4,147,1.01999999,-0.026945819,39.392967058,-0.116480772,110,CRAT
AB,4,148,1.01999999,-0.026945819,39.392967058,-0.116480772,110,ILEX
AB,4,149,1.01999999,-0.026945819,39.392967058,-0.116480772,110,MALU
AB,4,150,1.01999999,-0.026945819,39.392967058,-0.116480772,110,NEMO
AB,4,151,1.01999999,-0.026945819,39.392967058,-0.116480772,110,RHUS
AB,4,152,1.01999999,-0.026945819,39.392967058,-0.116480772,110,SORB
AB,4,153,1.01999999,-0.026945819,39.392967058,-0.116480772,110,VIBU
AB,4,154,1.01999999,-0.026945819,39.392967058,-0.116480772,110,CAST
