Species,v10,v11,v12,v20,v21,v22,Cd
ABIE.BAL,6.9831,0,-0.0011,-165.647,0.0254,0.0477,1.1042
ABIE.LAS,5.1561,0,0,269.199,-0.1994,0,1.3015
ACER.RUB,6.8511,0,-0.0012,-93.0483,0,0.051,1.0619
ACER.SAC,6.3001,0,-0.0007,-76.15,0,0.0441,1.0331
BETU.ALL,7.4254,0,-0.0017,-144.749,0,0.0937,1.0783
BETU.PAP,5.4297,0.0007,-0.0017,-79.2512,0,0.0387,1.0986
FAGU.GRA,5.3354,0,0,-18.0541,0,0,1.0491
LARI.LAR,0.3964,0.0023,-0.0013,0,-0.0096,0,1.2925
LARI.OCC,8.4027,-0.0011,0.001,-279.372,0.0944,0,1.0473
PICE.ENG,4.0283,0.0015,0,0,-0.1009,0.0815,1.1507
PICE.GLA,4.3751,0.0013,-0.0016,0,-0.0319,0.0413,1.0923
PICE.MAR,4.6774,0.0005,-0.0005,-60.224,0.0118,-0.0236,1.1481
PICE.RUB,8.2368,-0.0009,0,-163.794,0.0452,0,1.0446
PINU.BAN,5.3141,0.0007,-0.0012,-139.856,0.0214,0.0417,1.1136
PINU.CON,4.1498,0.0007,0.0012,0,-0.0257,0,1.0818
PINU.RES,7.8984,0,-0.0019,0,-0.0457,0.075,1.1238
PINU.STR,11.8506,-0.0022,0,-596.185,0.2028,0,1.1342
POPU.BAL,6.2604,0,0,0,-0.0216,0,1.0094
POPU.GRA,9.5598,0,-0.0028,-219.535,0,0.1366,1.1075
POPU.TRE,6.7296,0,-0.0005,-86.6405,0.0135,0,1.0333
PSEU.MEN,4.2494,0,0.0022,-44.9884,0.0337,-0.0913,1.086
QUER.RUB,5.824,0,0,-58.3159,0,0,1.1044
THUJ.OCC,2.8399,0.0012,0,0,-0.0236,0,1.0548
TSUG.CAN,4.6304,0,0.001,0,0,-0.0263,1.0566
TSUG.HET,6.8699,0,0.0003,-143.964,0.0294,0,1.0154
